time,cost (€/MWh)
2023-07-13 12:30:00+02:00,0.000280139
2023-07-13 12:45:00+02:00,0.000280139
2023-07-13 13:00:00+02:00,0.000259445
2023-07-13 13:15:00+02:00,0.000259445
2023-07-13 13:30:00+02:00,0.000259445
2023-07-13 13:45:00+02:00,0.000259445
2023-07-13 14:00:00+02:00,0.000245967
2023-07-13 14:15:00+02:00,0.000245967
2023-07-13 14:30:00+02:00,0.000245967
2023-07-13 14:45:00+02:00,0.000245967
2023-07-13 15:00:00+02:00,0.000261136
2023-07-13 15:15:00+02:00,0.000261136
2023-07-13 15:30:00+02:00,0.000261136
2023-07-13 15:45:00+02:00,0.000261136
2023-07-13 16:00:00+02:00,0.000278886
2023-07-13 16:15:00+02:00,0.000278886
2023-07-13 16:30:00+02:00,0.000278886
2023-07-13 16:45:00+02:00,0.000278886
2023-07-13 17:00:00+02:00,0.000293003
2023-07-13 17:15:00+02:00,0.000293003
2023-07-13 17:30:00+02:00,0.000293003
2023-07-13 17:45:00+02:00,0.000293003
2023-07-13 18:00:00+02:00,0.000300682
2023-07-13 18:15:00+02:00,0.000300682
2023-07-13 18:30:00+02:00,0.000300682
2023-07-13 18:45:00+02:00,0.000300682
2023-07-13 19:00:00+02:00,0.000330319
2023-07-13 19:15:00+02:00,0.000330319
2023-07-13 19:30:00+02:00,0.000330319
2023-07-13 19:45:00+02:00,0.000330319
2023-07-13 20:00:00+02:00,0.000347229
2023-07-13 20:15:00+02:00,0.000347229
2023-07-13 20:30:00+02:00,0.000347229
2023-07-13 20:45:00+02:00,0.000347229
2023-07-13 21:00:00+02:00,0.000356035
2023-07-13 21:15:00+02:00,0.000356035
2023-07-13 21:30:00+02:00,0.000356035
2023-07-13 21:45:00+02:00,0.000356035
2023-07-13 22:00:00+02:00,0.000345739
2023-07-13 22:15:00+02:00,0.000345739
2023-07-13 22:30:00+02:00,0.000345739
2023-07-13 22:45:00+02:00,0.000345739
2023-07-13 23:00:00+02:00,0.00033077
2023-07-13 23:15:00+02:00,0.00033077
2023-07-13 23:30:00+02:00,0.00033077
2023-07-13 23:45:00+02:00,0.00033077
2023-07-14 00:00:00+02:00,0.000309826
2023-07-14 00:15:00+02:00,0.000309826
2023-07-14 00:30:00+02:00,0.000309826
2023-07-14 00:45:00+02:00,0.000309826
2023-07-14 01:00:00+02:00,0.000304014
2023-07-14 01:15:00+02:00,0.000304014
2023-07-14 01:30:00+02:00,0.000304014
2023-07-14 01:45:00+02:00,0.000304014
2023-07-14 02:00:00+02:00,0.000299692
2023-07-14 02:15:00+02:00,0.000299692
2023-07-14 02:30:00+02:00,0.000299692
2023-07-14 02:45:00+02:00,0.000299692
2023-07-14 03:00:00+02:00,0.00030107
2023-07-14 03:15:00+02:00,0.00030107
2023-07-14 03:30:00+02:00,0.00030107
2023-07-14 03:45:00+02:00,0.00030107
2023-07-14 04:00:00+02:00,0.000300243
2023-07-14 04:15:00+02:00,0.000300243
2023-07-14 04:30:00+02:00,0.000300243
2023-07-14 04:45:00+02:00,0.000300243
2023-07-14 05:00:00+02:00,0.000307759
2023-07-14 05:15:00+02:00,0.000307759
2023-07-14 05:30:00+02:00,0.000307759
2023-07-14 05:45:00+02:00,0.000307759
2023-07-14 06:00:00+02:00,0.00032611
2023-07-14 06:15:00+02:00,0.00032611
2023-07-14 06:30:00+02:00,0.00032611
2023-07-14 06:45:00+02:00,0.00032611
2023-07-14 07:00:00+02:00,0.00032611
2023-07-14 07:15:00+02:00,0.00032611
2023-07-14 07:30:00+02:00,0.00032611
2023-07-14 07:45:00+02:00,0.00032611
2023-07-14 08:00:00+02:00,0.000313283
2023-07-14 08:15:00+02:00,0.000313283
2023-07-14 08:30:00+02:00,0.000313283
2023-07-14 08:45:00+02:00,0.000313283
2023-07-14 09:00:00+02:00,0.000289871
2023-07-14 09:15:00+02:00,0.000289871
2023-07-14 09:30:00+02:00,0.000289871
2023-07-14 09:45:00+02:00,0.000289871
2023-07-14 10:00:00+02:00,0.000283157
2023-07-14 10:15:00+02:00,0.000283157
2023-07-14 10:30:00+02:00,0.000283157
2023-07-14 10:45:00+02:00,0.000283157
2023-07-14 11:00:00+02:00,0.000279187
2023-07-14 11:15:00+02:00,0.000279187
2023-07-14 11:30:00+02:00,0.000279187
2023-07-14 11:45:00+02:00,0.000279187
2023-07-14 12:00:00+02:00,0.000275942
2023-07-14 12:15:00+02:00,0.000275942
2023-07-14 12:30:00+02:00,0.000275942
2023-07-14 12:45:00+02:00,0.000275942
2023-07-14 13:00:00+02:00,0.000270982
2023-07-14 13:15:00+02:00,0.000270982
2023-07-14 13:30:00+02:00,0.000270982
2023-07-14 13:45:00+02:00,0.000270982
2023-07-14 14:00:00+02:00,0.00027742
2023-07-14 14:15:00+02:00,0.00027742
2023-07-14 14:30:00+02:00,0.00027742
2023-07-14 14:45:00+02:00,0.00027742
2023-07-14 15:00:00+02:00,0.000283583
2023-07-14 15:15:00+02:00,0.000283583
2023-07-14 15:30:00+02:00,0.000283583
2023-07-14 15:45:00+02:00,0.000283583
2023-07-14 16:00:00+02:00,0.000289909
2023-07-14 16:15:00+02:00,0.000289909
2023-07-14 16:30:00+02:00,0.000289909
2023-07-14 16:45:00+02:00,0.000289909
2023-07-14 17:00:00+02:00,0.000305392
2023-07-14 17:15:00+02:00,0.000305392
2023-07-14 17:30:00+02:00,0.000305392
2023-07-14 17:45:00+02:00,0.000305392
2023-07-14 18:00:00+02:00,0.000327676
2023-07-14 18:15:00+02:00,0.000327676
2023-07-14 18:30:00+02:00,0.000327676
2023-07-14 18:45:00+02:00,0.000327676
2023-07-14 19:00:00+02:00,0.000358917
2023-07-14 19:15:00+02:00,0.000358917
2023-07-14 19:30:00+02:00,0.000358917
2023-07-14 19:45:00+02:00,0.000358917
2023-07-14 20:00:00+02:00,0.000358578
2023-07-14 20:15:00+02:00,0.000358578
2023-07-14 20:30:00+02:00,0.000358578
2023-07-14 20:45:00+02:00,0.000358578
2023-07-14 21:00:00+02:00,0.000338536
2023-07-14 21:15:00+02:00,0.000338536
2023-07-14 21:30:00+02:00,0.000338536
2023-07-14 21:45:00+02:00,0.000338536
2023-07-14 22:00:00+02:00,0.000302623
2023-07-14 22:15:00+02:00,0.000302623
2023-07-14 22:30:00+02:00,0.000302623
2023-07-14 22:45:00+02:00,0.000302623
2023-07-14 23:00:00+02:00,0.000284698
2023-07-14 23:15:00+02:00,0.000284698
2023-07-14 23:30:00+02:00,0.000284698
2023-07-14 23:45:00+02:00,0.000284698
2023-07-15 00:00:00+02:00,0.00027385
2023-07-15 00:15:00+02:00,0.00027385
2023-07-15 00:30:00+02:00,0.00027385
2023-07-15 00:45:00+02:00,0.00027385
2023-07-15 01:00:00+02:00,0.000250276
2023-07-15 01:15:00+02:00,0.000250276
2023-07-15 01:30:00+02:00,0.000250276
2023-07-15 01:45:00+02:00,0.000250276
2023-07-15 02:00:00+02:00,0.000219824
2023-07-15 02:15:00+02:00,0.000219824
2023-07-15 02:30:00+02:00,0.000219824
2023-07-15 02:45:00+02:00,0.000219824
2023-07-15 03:00:00+02:00,0.0002083
2023-07-15 03:15:00+02:00,0.0002083
2023-07-15 03:30:00+02:00,0.0002083
2023-07-15 03:45:00+02:00,0.0002083
2023-07-15 04:00:00+02:00,0.00020458
2023-07-15 04:15:00+02:00,0.00020458
2023-07-15 04:30:00+02:00,0.00020458
2023-07-15 04:45:00+02:00,0.00020458
2023-07-15 05:00:00+02:00,0.000200459
2023-07-15 05:15:00+02:00,0.000200459
2023-07-15 05:30:00+02:00,0.000200459
2023-07-15 05:45:00+02:00,0.000200459
2023-07-15 06:00:00+02:00,0.000208237
2023-07-15 06:15:00+02:00,0.000208237
2023-07-15 06:30:00+02:00,0.000208237
2023-07-15 06:45:00+02:00,0.000208237
2023-07-15 07:00:00+02:00,0.00021162
2023-07-15 07:15:00+02:00,0.00021162
2023-07-15 07:30:00+02:00,0.00021162
2023-07-15 07:45:00+02:00,0.00021162
2023-07-15 08:00:00+02:00,0.000220826
2023-07-15 08:15:00+02:00,0.000220826
2023-07-15 08:30:00+02:00,0.000220826
2023-07-15 08:45:00+02:00,0.000220826
