Timeseries,kW,W
2023-07-11 09:30:00+02:00,15.53,15530
2023-07-11 09:45:00+02:00,16.99,16990
2023-07-11 10:00:00+02:00,18.41,18410
2023-07-11 10:15:00+02:00,19.79,19790
2023-07-11 10:30:00+02:00,21.09,21090
2023-07-11 10:45:00+02:00,22.32,22320
2023-07-11 11:00:00+02:00,23.46,23460
2023-07-11 11:15:00+02:00,24.53,24530
2023-07-11 11:30:00+02:00,25.48,25480
2023-07-11 11:45:00+02:00,26.34,26340
2023-07-11 12:00:00+02:00,27.02,27020
2023-07-11 12:15:00+02:00,27.54,27540
2023-07-11 12:30:00+02:00,27.93,27930
2023-07-11 12:45:00+02:00,28.2,28200
2023-07-11 13:00:00+02:00,28.37,28370
2023-07-11 13:15:00+02:00,28.46,28460
2023-07-11 13:30:00+02:00,27.59,27590
2023-07-11 13:45:00+02:00,25.88,25880
2023-07-11 14:00:00+02:00,24.97,24970
2023-07-11 14:15:00+02:00,21.44,21440
2023-07-11 14:30:00+02:00,20.33,20330
2023-07-11 14:45:00+02:00,20.87,20870
2023-07-11 15:00:00+02:00,19.63,19630
2023-07-11 15:15:00+02:00,18.83,18830
2023-07-11 15:30:00+02:00,17.9,17900
2023-07-11 15:45:00+02:00,16.67,16670
2023-07-11 16:00:00+02:00,21.39,21390
2023-07-11 16:15:00+02:00,20.07,20070
2023-07-11 16:30:00+02:00,18.01,18010
2023-07-11 16:45:00+02:00,17.23,17230
2023-07-11 17:00:00+02:00,15.67,15670
2023-07-11 17:15:00+02:00,14.14,14140
2023-07-11 17:30:00+02:00,12.54,12540
2023-07-11 17:45:00+02:00,10.92,10920
2023-07-11 18:00:00+02:00,9.33,9330
2023-07-11 18:15:00+02:00,7.749999999,7749.999999
2023-07-11 18:30:00+02:00,6.21,6210
2023-07-11 18:45:00+02:00,4.74,4740
2023-07-11 19:00:00+02:00,3.339999999,3339.999999
2023-07-11 19:15:00+02:00,2.1,2100
2023-07-11 19:30:00+02:00,1.32,1320
