time,cost (€/MWh),cost (€/kWh)
2024-01-17 15:45:00+01:00,0.000340465,0.340465
2024-01-17 16:00:00+01:00,0.000344348,0.344348
2024-01-17 16:15:00+01:00,0.000344348,0.344348
2024-01-17 16:30:00+01:00,0.000344348,0.344348
2024-01-17 16:45:00+01:00,0.000344348,0.344348
2024-01-17 17:00:00+01:00,0.00035933,0.35933
2024-01-17 17:15:00+01:00,0.00035933,0.35933
2024-01-17 17:30:00+01:00,0.00035933,0.35933
2024-01-17 17:45:00+01:00,0.00035933,0.35933
2024-01-17 18:00:00+01:00,0.000338123,0.338123
2024-01-17 18:15:00+01:00,0.000338123,0.338123
2024-01-17 18:30:00+01:00,0.000338123,0.338123
2024-01-17 18:45:00+01:00,0.000338123,0.338123
2024-01-17 19:00:00+01:00,0.000326461,0.326461
2024-01-17 19:15:00+01:00,0.000326461,0.326461
2024-01-17 19:30:00+01:00,0.000326461,0.326461
2024-01-17 19:45:00+01:00,0.000326461,0.326461
2024-01-17 20:00:00+01:00,0.000320849,0.320849
2024-01-17 20:15:00+01:00,0.000320849,0.320849
2024-01-17 20:30:00+01:00,0.000320849,0.320849
2024-01-17 20:45:00+01:00,0.000320849,0.320849
2024-01-17 21:00:00+01:00,0.000309939,0.309939
2024-01-17 21:15:00+01:00,0.000309939,0.309939
2024-01-17 21:30:00+01:00,0.000309939,0.309939
2024-01-17 21:45:00+01:00,0.000309939,0.309939
2024-01-17 22:00:00+01:00,0.000301408,0.301408
2024-01-17 22:15:00+01:00,0.000301408,0.301408
2024-01-17 22:30:00+01:00,0.000301408,0.301408
2024-01-17 22:45:00+01:00,0.000301408,0.301408
2024-01-17 23:00:00+01:00,0.000288744,0.288744
2024-01-17 23:15:00+01:00,0.000288744,0.288744
2024-01-17 23:30:00+01:00,0.000288744,0.288744
2024-01-17 23:45:00+01:00,0.000288744,0.288744
2024-01-18 00:00:00+01:00,0.000285187,0.285187
2024-01-18 00:15:00+01:00,0.000285187,0.285187
2024-01-18 00:30:00+01:00,0.000285187,0.285187
2024-01-18 00:45:00+01:00,0.000285187,0.285187
2024-01-18 01:00:00+01:00,0.000280013,0.280013
2024-01-18 01:15:00+01:00,0.000280013,0.280013
2024-01-18 01:30:00+01:00,0.000280013,0.280013
2024-01-18 01:45:00+01:00,0.000280013,0.280013
2024-01-18 02:00:00+01:00,0.000277621,0.277621
2024-01-18 02:15:00+01:00,0.000277621,0.277621
2024-01-18 02:30:00+01:00,0.000277621,0.277621
2024-01-18 02:45:00+01:00,0.000277621,0.277621
